Timestamp,Parking Spot,Occupied
2024-10-29 15:03:00.594754,Spot 17,Occupied
2024-10-29 15:03:00.594754,Spot 19,Occupied
2024-10-29 15:03:00.609694,Spot 6,Occupied
2024-10-29 15:03:00.609694,Spot 16,Occupied
2024-10-29 15:03:00.625315,Spot 17,Occupied
2024-10-29 15:03:00.625315,Spot 19,Occupied
2024-10-29 15:03:00.642915,Spot 6,Occupied
2024-10-29 15:03:00.658535,Spot 16,Occupied
2024-10-29 15:03:00.658535,Spot 17,Occupied
2024-10-29 15:03:00.658535,Spot 19,Occupied
2024-10-29 15:03:00.674134,Spot 6,Occupied
2024-10-29 15:03:00.674134,Spot 16,Occupied
2024-10-29 15:03:00.689761,Spot 17,Occupied
2024-10-29 15:03:00.707372,Spot 6,Occupied
2024-10-29 15:03:00.722991,Spot 16,Occupied
2024-10-29 15:03:00.722991,Spot 17,Occupied
2024-10-29 15:03:00.739407,Spot 6,Occupied
2024-10-29 15:03:00.739407,Spot 16,Occupied
2024-10-29 15:03:00.755034,Spot 17,Occupied
2024-10-29 15:03:00.771148,Spot 6,Occupied
2024-10-29 15:03:00.786779,Spot 17,Occupied
2024-10-29 15:03:00.818686,Spot 6,Occupied
2024-10-29 15:03:00.818686,Spot 17,Occupied
2024-10-29 15:03:00.862963,Spot 6,Occupied
2024-10-29 15:03:00.866470,Spot 17,Occupied
2024-10-29 15:03:00.883133,Spot 6,Occupied
2024-10-29 15:03:00.898764,Spot 17,Occupied
2024-10-29 15:03:00.915195,Spot 6,Occupied
2024-10-29 15:03:00.930823,Spot 16,Occupied
2024-10-29 15:03:00.930823,Spot 17,Occupied
2024-10-29 15:03:00.945831,Spot 6,Occupied
2024-10-29 15:03:00.945831,Spot 16,Occupied
2024-10-29 15:03:00.978729,Spot 1,Occupied
2024-10-29 15:03:00.978729,Spot 6,Occupied
2024-10-29 15:03:01.011108,Spot 1,Occupied
2024-10-29 15:03:01.026735,Spot 6,Occupied
2024-10-29 15:03:01.026735,Spot 16,Occupied
2024-10-29 15:03:01.043040,Spot 1,Occupied
2024-10-29 15:03:01.043040,Spot 6,Occupied
2024-10-29 15:03:01.058667,Spot 16,Occupied
2024-10-29 15:03:01.075332,Spot 1,Occupied
2024-10-29 15:03:01.075332,Spot 6,Occupied
2024-10-29 15:03:01.090960,Spot 16,Occupied
2024-10-29 15:03:01.107532,Spot 1,Occupied
2024-10-29 15:03:01.107532,Spot 16,Occupied
2024-10-29 15:03:01.139303,Spot 1,Occupied
2024-10-29 15:03:01.139303,Spot 6,Occupied
2024-10-29 15:03:01.154963,Spot 16,Occupied
2024-10-29 15:03:01.187319,Spot 1,Occupied
2024-10-29 15:03:01.234930,Spot 1,Occupied
2024-10-29 15:03:01.267182,Spot 1,Occupied
2024-10-29 15:03:01.299068,Spot 1,Occupied
